,name,description,price,area,type,subway,floor,year,region,object,dist,lease_amount
0,"Продажа помещения 190.60 кв.м. ЮВАО ул. ул. октябрьский проспект, 1к1","Арендный бизнес. Помещение зальной планировки,  большие витринные окна, 1 линия домов, отдельный вход.Арендатор: кухонная студия ""Мария"". ДА на 3 года от 02.2016 г. МАП 500 000 рублей, индексация 7 %.",283 316,190.60 м2,Продажа,Лермонтовский проспект,1,до 1917,ЮВАО,помещение,5 мин.,387 490 руб.
1,"Продажа помещения 7700 кв.м. ЦАО ул. Кожевническая, 10","На продажу предлагается здание Бизнес-центра 7700 кв.м   в районе Замоскворечье ЦАО Москвы. метро Павелецкая - 300м. БЦ 500 метрах от Садового кольца, подъезд к БЦ с улиц Кожевническая и Летниковская. В ближайшем деловом окружении бизнес-центры класса А и В, 20 крупных банковских отделений, юридические и адвокатские компании, бухгалтерский центр, мебельный салон, туристические компании, здесь открыто более 50 ресторанов, пиццерий и кафе, пабов и суши-баров. Бизнес-центр класса В : 11 этажей + подвал.Год постройки: 1953гГод реконструкции: 2014г. Яркий и современный экстерьер в светлых, сине-голубых тонах  с прозрачными стеклянными панелями  делового пространства  соответствует внутреннему наполнению, обеспечивая высококачественные условия для ведения бизнес-деятельности.  Здание оборудовано системами приточно-вытяжной вентиляции и центрального кондиционирования, камерами видеонаблюдения. системой контроля удаленного доступа; установлены сплинклерная система пожаротушения; три надежных стеклянных лифта с системой интеллектуального открывания дверей «Otis» . Оптоволоконную телефонную связь и скоростной выход в Интернет предоставляют провайдеры «Цифра 1», «Телеком» и «Глобус». Электрическая мощность 1270кВт, две линии.  Готовый арендный бизнес.Окупаемость 9 лет",175 325,7700.00 м2,Продажа,Павелецкая,,2014,ЦАО,помещение,,
2,"Продажа помещения 630 кв.м. ЗАО ул. Дорогомиловская Б., 9","К продаже предлагается помещение 628,9 м2, расположенное на 1-ом этаже и в подвале, по адресу: Москва, Б.Дорогомиловская 9. На первой линии, в 5-ти минутах от метро Киевская, в непосредственной близости от Кутузовского пр-та.Помещение с витринными окнами, отличная видимость и доступность, интенсивный пешеходный и автомобильный трафик. Площадь 1-го этажа - 345,40 м2 (торговый зал 292,70 м2), состоит из двух блоков 148,9 + 196,5 м2, площадь подвальных помещений -  283,50 м2. Высота потолков в подвальных помещениях 2,8 м. Подключенная мощность 80 кВт.Отдельная входная группа, высокий рекламный потенциал.",317 460,630.00 м2,Продажа,Киевская,1,,ЗАО,помещение,5 мин.,
3,"Продажа помещения 61 кв.м. ЦАО проезд Кожевнический, 4","Предлагается к продаже торговое помещение 61 кв.м. в новом  жилом комплексе на Кожевнической набережной, в пешей доступности станции метро Павелецкая на охраняемой территории.Формат коммерческая площадь, первый этаж, несколько отдельных входов, витринные окна. Без отделки. Выделенная мощность 200 Вт/м.кв. Смонтированы автоматическая пожарная сигнализация, система оповещения, система дымоудаления. Приточно-вытяжная система вентиляции, центральное кондиционирование, есть система очистки холодной воды.Рядом Московский Дом музыки, многочисленные бизнес-центры. Сформировавшийся деловой кластер Замоскворечья в трёх минутах от Садового кольца. Ввод в эксплуатацию во втором квартале 2018 года. Вход на территорию ЖК через шлагбаум. Есть подземный паркинг на 172 м/м",330 000,61.00 м2,Продажа,Павелецкая,1,2016,ЦАО,помещение,5 мин.,
4,"Продажа помещения 220 кв.м. ЦАО ул. Татарская, 14","Предлагаю в покупку нежилое помещение на 1 этаже Сталинского 8 этажного дома, в проходном месте, в 2 минутах пешком от ст. метро Павелецкая, внутри Садового кольца около кинотеатра ""Пять Звезд"". Назначение свободное. Большие витрины. Арендаторы были кальянная, кулинария, продукты. Имеется антресоль. Два отдельных входа, позволяют делить объект на 2 помещения. Общая площадь 220 кв.м. Окна с защитными жалюзи, все коммуникации, электричество 2 ввода 20 и 45 квт. Первый нежилой этаж 8-этажного жилого дома. Потолки 4,5 метра. В собственности Юридического лица на УСН. На данный момент есть арендатор кофейня, занимает 80 кв.м. МАП 175000 руб, остальная площадь вакантна.",318 182,220.00 м2,Продажа,Павелецкая,1,,ЦАО,помещение,,
5,Закрытая продажа помещения 1650 кв.м ЮЗАО,"Эксклюзивное предложение!!! Арендный бизнес - торговое помещение с универсамом Дикси и другими арендаторами. Открывается в 50 метрах метро в 2019 году. Общий арендный доход 3 000 000 руб. в месяц, упрощенная система налогообложения. Детальная информация по телефону.",193 939,1650.00 м2,Закрытая продажа,,1,до 1917,ЮЗАО,помещение,,3 000 000 руб.
6,"Продажа здания 599 кв.м. ЦАО пер. Барыковский, 7","Предлагается к продаже представительский особняк класса «делюкс», являющийся частью архитектурного ансамбля из трех четырёхэтажных зданий, в фасадах которых сохранены черты традиционной московской архитектуры XIX века. Здание полностью автономно в эксплуатации. Особняк расположен в черте «золотой мили» в тихом переулке, соединяющем улицы Остоженка и Пречистенка, в непосредственной близости от Кремля.Все технические характеристики и инженерное оснащение особняков соответствуют самым высоким требованиям, предъявляемым к престижным деловым резиденциям, имеет богатый и хорошо детализированный облик фасадов с использованием лепнины, мозаики и кованых изделий, тщательно продуманную систему автоматизированной подсветки фасадов в ночное время. Подземная парковка с пандусным въездом, изолированное от внутреннего объема здания помещение для охраны.Здание с апартаментами имеет шесть уровней (подвал, 1-й этаж, антресоль, 2-й, 3-й, 4-й этажи, терраса на крыше). Высота потолков от 2.7, до 6.0 м. Площадь помещений: 397.8 м2 без паркинга, подвала , террас и балконов; общая площадь секции 599 кв.м. Количество машиномест 2 или 3 в зависимости от размера машины. Площадь открытых террас: 58 кв.м. Централизованная система вентиляции и кондиционирования с возможностью поддержания уровня влажности воздуха. Система видеонаблюдения входов, периметра здания, крыши и прилегающей территории.Выполнен качественный ремонт из дорогих материалов. Помещения мебелированы. Имеются автоматические бесшумные лифтовые подъемники, система резервного обеспечения горячей водой на случай ее отключения. Водяной подогрев полов в санузлах всех зон проживания. Рамы и двери выполнены из натурального дерева с двойными стеклопакетами, использующими технологию повышенной шумоизоляции.  цена продажи  18 мл.$ Прямой договор с собственником. Возможна аренда помещения.",1 919 866,599.00 м2,Продажа,Кропоткинская,1,2008,ЦАО,здание,5 мин.,
7,Закрытая продажа помещения 923.40 кв.м ВАО,"Предлагается на продажу арендный бизнес на улице Первомайская ВАО  г. Москвы.Объект расположен на первом этаже встроено - пристроенного помещения к жилому дому. До станции метро ""Первомайская"" - 15 минут пешком.Первая линия домов. Густонаселенный жилой массив. Интенсивный автомобильный и пешеходный поток. Развитая инфраструктура района.Хорошие рекламные возможности. Витринные окна. Процент с товарооборота - 7%.Долгосрочный договор аренды до 2026 года. Дополнительная информация Цена:207 000 000 р. Ставка аренды:3 000 000 р. в месяц Общая площадь:923 кв. мОкупаемость: менее 8 лет",321 637,923.40 м2,Закрытая продажа,,1,1985,ВАО,помещение,,3 000 000 руб.
8,"Продажа помещения 361.50 кв.м. ЦАО ул. Пятницкая, 33-35 стр.2","Street-retail - продажа помещения торгового/свободного назначения площадью 361,5 кв.м на 1-м этаже 4-х этажного жилого дома, расположенного: Москва, ЦАО, «Замоскворечье», Пятницкая ул. д.33-35 стр.2. Отличная пешеходная доступность от станций метро «Новокузнецкая» и «Третьяковская» - 2 минуты пешком. 1-я линия домов Пятницкой ул. и Старого Толмачёвского переулка. Высокий рекламный потенциал, места для вывесок. Планировка - открытая (свободная), перекрытия—ж/б, стены-кирпич. Высота потолков - 3,0м.",611 757,361.50 м2,Продажа,Новокузнецкая,1,,ЦАО,помещение,2 мин.,
9,Закрытая продажа помещения 615 кв.м ЦАО,"Помещение салона красоты, с кафе, и стоматологией со всем оборудованием, на 1 этаже, с отдельным входом, на территории элитного жилого комплекса.Стоматология - 5 кабинетов по 15 кв.м с оборудованием КАВА (Германия) + кабинет рентгена с визиографом м пантамографом СИРЕНА пр-ва Германия, 2 кабинета для стерилизации оборудования.Косметологические кабинеты - действующие и полностью оборудованы.Все помещения кабинетов лицензированы и сертифицированы.",299 187,615.00 м2,Закрытая продажа,,1,,ЦАО,помещение,,
